date,time,tempC,windspeed,rainfall,humidity,pressure,cloudcover
2010-03-03,03,23,26,0.0,77,1011,10
2010-03-03,06,22,29,0.0,72,1012,8
2010-03-03,09,23,32,0.0,61,1013,0
2010-03-03,12,22,31,0.0,62,1013,0
2010-03-03,15,22,39,0.0,67,1011,0
2010-03-03,18,22,40,0.0,69,1012,0
2010-03-03,21,22,38,0.0,70,1012,0
2010-03-04,00,22,36,0.0,70,1013,0
2010-03-04,03,22,28,0.0,67,1011,0
2010-03-04,06,22,26,0.0,67,1013,0
2010-03-04,09,22,19,0.0,65,1013,0
2010-03-04,12,21,26,0.0,68,1013,0
2010-03-04,15,22,29,0.0,67,1012,0
2010-03-04,18,22,33,0.0,68,1012,0
2010-03-04,21,23,22,0.0,61,1012,0
2010-03-05,00,23,19,0.0,63,1012,0
2010-03-05,03,23,26,0.0,63,1012,2
2010-03-05,06,23,31,0.0,65,1013,0
2010-03-05,09,23,30,0.0,62,1014,0
2010-03-05,12,22,44,0.0,61,1013,0
2010-03-05,15,22,48,0.0,60,1012,0
2010-03-05,18,22,47,0.0,63,1013,0
2010-03-05,21,22,39,0.0,65,1013,0
2010-03-06,00,22,35,0.0,67,1014,0
2010-03-06,03,22,23,0.0,67,1014,0
2010-03-06,06,22,23,0.0,66,1015,0
2010-03-06,09,22,15,0.0,63,1015,0
2010-03-06,12,22,17,0.0,66,1016,0
2010-03-06,15,22,18,0.0,68,1015,7
2010-03-06,18,22,21,0.0,67,1015,5
2010-03-06,21,23,20,0.0,67,1016,0
2010-03-07,00,22,16,0.0,67,1016,0
2010-03-07,03,22,10,0.0,69,1015,0
2010-03-07,06,22,5,0.0,68,1016,0
2010-03-07,09,22,12,0.0,70,1018,0
2010-03-07,12,22,13,0.0,76,1017,0
2010-03-07,15,22,22,0.0,81,1016,0
2010-03-07,18,23,22,0.0,71,1016,0
2010-03-07,21,24,22,0.0,70,1016,0
2010-03-08,00,24,18,0.0,67,1016,0
2010-03-08,03,23,14,0.0,68,1015,0
2010-03-08,06,24,8,0.0,73,1016,0
2010-03-08,09,23,12,0.0,76,1018,0
2010-03-08,12,23,8,0.0,80,1018,0
2010-03-08,15,22,8,0.0,78,1016,0
2010-03-08,18,23,12,0.0,75,1017,0
2010-03-08,21,23,7,0.0,72,1018,0
2010-03-09,00,24,1,0.0,73,1017,0
2010-03-09,03,23,6,0.0,69,1017,0
2010-03-09,06,24,11,0.0,72,1018,0
2010-03-09,09,24,6,0.0,75,1019,0
2010-03-09,12,23,1,0.0,70,1018,0
2010-03-09,15,23,9,0.0,70,1016,0
2010-03-09,18,24,14,0.0,68,1017,0
2010-03-09,21,24,9,0.0,65,1018,0
2010-03-10,00,25,8,0.0,65,1017,0
2010-03-10,03,24,6,0.0,70,1017,0
2010-03-10,06,24,8,0.0,61,1018,0
2010-03-10,09,25,9,0.0,61,1019,0
2010-03-10,12,24,15,0.0,61,1018,0
2010-03-10,15,24,24,0.0,66,1016,4
2010-03-10,18,24,22,0.0,65,1017,1
2010-03-10,21,24,14,0.0,66,1017,0
2010-03-11,00,24,13,0.0,62,1016,0
2010-03-11,03,24,12,0.0,61,1015,0
2010-03-11,06,23,15,0.0,61,1016,1
2010-03-11,09,24,15,0.0,62,1018,0
2010-03-11,12,24,21,0.0,64,1018,0
2010-03-11,15,24,23,0.0,63,1016,0
2010-03-11,18,24,22,0.0,63,1017,0
2010-03-11,21,24,14,0.0,65,1018,0
2010-03-12,00,24,10,0.0,64,1018,0
2010-03-12,03,24,8,0.0,64,1017,0
2010-03-12,06,24,9,0.0,62,1018,0
2010-03-12,09,24,5,0.0,61,1019,0
2010-03-12,12,24,14,0.0,59,1018,0
2010-03-12,15,24,17,0.0,61,1016,0
2010-03-12,18,24,18,0.0,60,1016,0
2010-03-12,21,25,14,0.0,60,1017,0
2010-03-13,00,25,5,0.0,64,1017,0
2010-03-13,03,24,6,0.0,59,1016,0
2010-03-13,06,23,10,0.0,56,1017,1
2010-03-13,09,23,8,0.0,57,1017,1
2010-03-13,12,24,10,0.0,57,1017,0
2010-03-13,15,24,14,0.0,60,1015,0
2010-03-13,18,25,18,0.0,60,1015,0
2010-03-13,21,25,16,0.0,60,1015,0
2010-03-14,00,25,12,0.0,61,1014,0
2010-03-14,03,25,9,0.0,61,1013,0
2010-03-14,06,24,12,0.0,58,1014,0
2010-03-14,09,25,11,0.0,58,1015,0
2010-03-14,12,25,21,0.0,59,1014,0
2010-03-14,15,25,24,0.0,62,1013,0
2010-03-14,18,25,25,0.0,62,1013,0
2010-03-14,21,25,19,0.0,62,1014,0
2010-03-15,00,25,17,0.0,61,1013,0
2010-03-15,03,25,15,0.0,61,1012,0
2010-03-15,06,25,14,0.0,60,1014,0
2010-03-15,09,25,8,0.0,61,1015,0
2010-03-15,12,25,19,0.0,60,1014,0
2010-03-15,15,25,16,0.0,61,1012,0
2010-03-15,18,25,19,0.0,61,1013,0
2010-03-15,21,25,16,0.0,59,1013,0
2010-03-16,00,25,14,0.0,59,1013,0
2010-03-16,03,25,13,0.0,61,1012,0
2010-03-16,06,26,14,0.0,58,1013,2
2010-03-16,09,25,10,0.0,59,1013,6
2010-03-16,12,25,17,0.0,59,1012,1
2010-03-16,15,25,23,0.0,59,1010,0
2010-03-16,18,25,22,0.0,60,1011,2
2010-03-16,21,26,17,0.0,59,1012,10
2010-03-17,00,26,14,0.0,57,1012,12
2010-03-17,03,25,14,0.0,58,1012,32
2010-03-17,06,25,12,0.0,55,1013,46
2010-03-17,09,25,6,0.0,52,1014,20
2010-03-17,12,26,12,0.0,50,1013,0
2010-03-17,15,25,15,0.0,52,1012,0
2010-03-17,18,26,13,0.0,54,1013,0
2010-03-17,21,25,9,0.0,57,1014,0
2010-03-18,00,25,6,0.0,59,1013,0
2010-03-18,03,25,8,0.0,54,1013,0
2010-03-18,06,25,11,0.0,55,1015,0
2010-03-18,09,25,15,0.0,56,1016,0
2010-03-18,12,26,13,0.0,61,1015,0
2010-03-18,15,26,13,0.0,55,1013,0
2010-03-18,18,26,13,0.0,56,1014,0
2010-03-18,21,26,21,0.0,53,1015,0
2010-03-19,00,26,21,0.0,59,1014,0
2010-03-19,03,27,15,0.0,61,1013,0
2010-03-19,06,26,13,0.0,58,1015,0
2010-03-19,09,26,15,0.0,58,1016,0
2010-03-19,12,26,8,0.0,61,1015,0
2010-03-19,15,26,16,0.0,63,1013,0
2010-03-19,18,27,14,0.0,59,1014,0
2010-03-19,21,27,17,0.0,57,1014,0
2010-03-20,00,27,13,0.0,57,1014,0
2010-03-20,03,26,8,0.0,63,1013,0
2010-03-20,06,27,5,0.0,59,1014,0
2010-03-20,09,27,12,0.0,54,1014,0
2010-03-20,12,26,22,0.0,62,1014,0
2010-03-20,15,26,24,0.0,68,1013,0
2010-03-20,18,26,23,0.0,63,1013,0
2010-03-20,21,27,26,0.0,62,1014,0
2010-03-21,00,26,21,0.0,61,1014,0
2010-03-21,03,26,19,0.0,63,1013,0
2010-03-21,06,26,17,0.0,63,1014,0
2010-03-21,09,26,14,0.0,65,1014,0
2010-03-21,12,25,26,0.0,67,1014,0
2010-03-21,15,25,25,0.0,67,1013,0
2010-03-21,18,26,31,0.0,69,1012,0
2010-03-21,21,26,31,0.0,69,1012,0
2010-03-22,00,25,33,0.0,66,1012,0
2010-03-22,03,25,31,0.0,66,1011,0
2010-03-22,06,26,34,0.0,67,1011,3
2010-03-22,09,26,21,0.0,66,1011,2
2010-03-22,12,25,36,0.0,68,1010,0
2010-03-22,15,26,34,0.0,65,1008,0
2010-03-22,18,26,40,0.0,64,1008,0
2010-03-22,21,26,40,0.0,61,1008,0
2010-03-23,00,25,36,0.0,58,1008,0
2010-03-23,03,25,28,0.0,58,1007,0
2010-03-23,06,25,23,0.0,63,1007,0
2010-03-23,09,26,8,0.0,67,1009,0
2010-03-23,12,25,10,0.0,65,1008,0
2010-03-23,15,25,12,0.0,66,1006,0
2010-03-23,18,25,26,0.0,66,1006,0
2010-03-23,21,26,21,0.0,67,1008,0
2010-03-24,00,26,19,0.0,68,1008,0
2010-03-24,03,26,9,0.0,68,1007,0
2010-03-24,06,26,8,0.0,69,1009,17
2010-03-24,09,26,7,0.0,69,1010,2
2010-03-24,12,25,3,0.0,68,1010,0
2010-03-24,15,25,13,0.0,67,1008,19
2010-03-24,18,26,13,0.0,65,1009,3
2010-03-24,21,26,13,0.0,63,1009,12
2010-03-25,00,25,19,0.0,64,1009,3
2010-03-25,03,25,18,0.0,67,1008,0
2010-03-25,06,27,18,0.0,68,1009,4
2010-03-25,09,27,18,0.0,63,1010,2
2010-03-25,12,27,20,0.0,61,1009,0
2010-03-25,15,27,24,0.0,61,1008,0
2010-03-25,18,27,27,0.0,60,1008,0
2010-03-25,21,27,25,0.0,62,1009,0
2010-03-26,00,27,31,0.0,61,1009,0
2010-03-26,03,27,32,0.0,59,1008,0
2010-03-26,06,27,23,0.0,58,1009,0
2010-03-26,09,27,7,0.0,57,1010,0
2010-03-26,12,27,14,0.0,54,1009,3
2010-03-26,15,27,13,0.0,55,1008,4
2010-03-26,18,27,10,0.0,55,1007,3
2010-03-26,21,28,4,0.0,59,1007,6
2010-03-27,00,27,7,0.0,55,1006,2
2010-03-27,03,27,16,0.0,46,1005,0
2010-03-27,06,28,22,0.0,53,1006,3
2010-03-27,09,28,19,0.0,55,1008,7
2010-03-27,12,28,7,0.0,59,1008,5
2010-03-27,15,28,14,0.0,55,1006,43
2010-03-27,18,29,27,0.0,47,1007,47
2010-03-27,21,29,30,0.0,50,1007,30
2010-03-28,00,29,22,0.0,55,1007,0
2010-03-28,03,28,9,0.0,59,1006,0
2010-03-28,06,27,14,0.0,64,1008,43
2010-03-28,09,27,14,0.0,63,1009,29
2010-03-28,12,27,15,0.0,61,1011,77
2010-03-28,15,27,18,0.0,57,1011,94
2010-03-28,18,27,12,0.0,60,1010,16
2010-03-28,21,27,12,0.0,67,1011,0
2010-03-29,00,27,16,0.0,63,1011,2
2010-03-29,03,26,18,0.0,66,1011,3
2010-03-29,06,26,18,0.0,61,1012,4
2010-03-29,09,26,17,0.0,59,1013,3
2010-03-29,12,27,21,0.0,54,1013,0
2010-03-29,15,26,23,0.0,58,1011,0
2010-03-29,18,26,31,0.0,60,1013,0
2010-03-29,21,26,33,0.0,63,1013,0
2010-03-30,00,26,32,0.0,63,1012,0
2010-03-30,03,26,26,0.0,61,1012,0
2010-03-30,06,26,26,0.0,65,1012,2
2010-03-30,09,26,20,0.0,65,1013,2
2010-03-30,12,25,25,0.0,67,1012,3
2010-03-30,15,26,30,0.0,66,1011,6
2010-03-30,18,26,27,0.0,62,1010,6
2010-03-30,21,26,28,0.0,64,1011,5
2010-03-31,00,26,27,0.0,66,1011,9
2010-03-31,03,26,24,0.0,65,1010,6
2010-03-31,06,27,21,0.0,63,1011,6
2010-03-31,09,27,17,0.0,60,1012,4
2010-03-31,12,27,26,0.0,59,1012,5
2010-03-31,15,27,29,0.0,57,1010,3
2010-03-31,18,27,25,0.0,59,1010,5
2010-03-31,21,27,28,0.0,61,1010,3
2010-04-01,00,27,32,0.0,61,1011,0
2010-04-01,03,27,30,0.0,59,1010,2
2010-04-01,06,27,27,0.0,57,1011,0
2010-04-01,09,27,30,0.0,56,1011,2
2010-04-01,12,28,34,0.0,55,1011,0
2010-04-01,15,27,42,0.0,56,1009,0
2010-04-01,18,27,46,0.0,57,1010,0
2010-04-01,21,26,48,0.0,57,1010,0
2010-04-02,00,25,49,0.0,60,1011,0
2010-04-02,03,26,47,0.0,55,1009,0
2010-04-02,06,26,42,0.0,54,1010,0
2010-04-02,09,26,45,0.0,54,1010,0
2010-04-02,12,26,47,0.0,55,1011,0
2010-04-02,15,26,46,0.0,59,1008,0
2010-04-02,18,26,46,0.0,59,1009,0
2010-04-02,21,26,40,0.0,59,1009,0
2010-04-03,00,26,42,0.0,57,1010,0
2010-04-03,03,27,35,0.0,54,1008,0
2010-04-03,06,26,35,0.0,55,1010,0
2010-04-03,09,26,30,0.0,58,1011,0
2010-04-03,12,26,25,0.0,59,1011,0
2010-04-03,15,27,33,0.0,59,1010,0
2010-04-03,18,27,39,0.0,58,1010,0
2010-04-03,21,27,36,0.0,59,1010,0
2010-04-04,00,26,32,0.0,60,1011,0
2010-04-04,03,26,24,0.0,62,1010,0
2010-04-04,06,26,16,0.0,66,1012,3
2010-04-04,09,26,7,0.0,66,1013,5
2010-04-04,12,25,2,0.0,61,1013,0
2010-04-04,15,25,7,0.0,62,1011,0
2010-04-04,18,26,12,0.0,67,1011,0
2010-04-04,21,26,15,0.0,67,1012,0
date,time,tempC,windspeed,rainfall,humidity,pressure,cloudcover
2010-01-01,00,22,6,0.0,60,1014,2
2010-01-01,03,22,9,0.0,61,1013,8
2010-01-01,06,22,11,0.0,62,1013,23
2010-01-01,09,22,13,0.0,61,1014,46
2010-01-01,12,20,21,0.0,70,1013,27
2010-01-01,15,20,10,0.2,80,1013,56
2010-01-01,18,19,23,2.2,73,1014,82
2010-01-01,21,20,30,0.0,71,1014,14
2010-01-02,00,20,32,0.0,71,1014,12
2010-01-02,03,21,31,0.0,66,1014,5
2010-01-02,06,21,37,0.0,67,1015,2
2010-01-02,09,21,32,0.0,67,1016,0
2010-01-02,12,20,30,0.0,64,1016,0
2010-01-02,15,21,30,0.0,64,1016,0
2010-01-02,18,21,27,0.0,67,1018,0
2010-01-02,21,21,24,0.0,66,1018,0
2010-01-03,00,21,22,0.0,67,1018,0
2010-01-03,03,21,17,0.0,69,1018,0
2010-01-03,06,21,18,0.0,69,1019,0
2010-01-03,09,21,12,0.0,68,1020,0
2010-01-03,12,20,11,0.0,71,1020,5
2010-01-03,15,21,15,0.0,74,1019,0
2010-01-03,18,21,17,0.0,72,1020,0
2010-01-03,21,21,15,0.0,70,1020,0
2010-01-04,00,21,13,0.0,68,1020,0
2010-01-04,03,21,12,0.0,70,1020,0
2010-01-04,06,21,15,0.0,74,1020,12
2010-01-04,09,21,12,0.0,73,1021,12
2010-01-04,12,21,15,0.0,74,1020,3
2010-01-04,15,21,13,0.0,76,1019,0
2010-01-04,18,21,17,0.0,74,1019,0
2010-01-04,21,21,16,0.0,73,1019,0
2010-01-05,00,21,15,0.0,74,1019,5
2010-01-05,03,21,19,0.0,74,1018,13
2010-01-05,06,21,15,0.0,75,1018,3
2010-01-05,09,21,17,0.0,75,1018,5
2010-01-05,12,21,21,0.0,75,1017,0
2010-01-05,15,22,26,0.0,73,1015,0
2010-01-05,18,22,24,0.0,72,1016,0
2010-01-05,21,22,25,0.0,70,1016,0
2010-01-06,00,22,23,0.0,70,1015,0
2010-01-06,03,22,25,0.0,69,1014,0
2010-01-06,06,22,26,0.0,64,1015,0
2010-01-06,09,22,17,0.0,59,1015,0
2010-01-06,12,22,20,0.0,57,1015,0
2010-01-06,15,22,19,0.0,60,1013,0
2010-01-06,18,23,21,0.0,64,1014,0
2010-01-06,21,23,21,0.0,62,1014,0
2010-01-07,00,23,16,0.0,61,1013,0
2010-01-07,03,23,9,0.0,58,1013,0
2010-01-07,06,23,8,0.0,61,1015,0
2010-01-07,09,22,18,0.0,64,1016,0
2010-01-07,12,22,22,0.0,67,1016,0
2010-01-07,15,23,15,0.0,65,1016,0
2010-01-07,18,24,15,0.0,66,1017,0
2010-01-07,21,24,17,0.0,65,1017,0
2010-01-08,00,24,16,0.0,62,1018,0
2010-01-08,03,23,22,0.0,59,1018,0
2010-01-08,06,23,22,0.0,59,1018,0
2010-01-08,09,23,23,0.0,59,1019,0
2010-01-08,12,23,22,0.0,58,1019,0
2010-01-08,15,23,22,0.0,58,1017,0
2010-01-08,18,23,16,0.0,57,1018,0
2010-01-08,21,23,10,0.0,57,1018,0
2010-01-09,00,23,12,0.0,55,1019,0
2010-01-09,03,23,17,0.0,55,1018,0
2010-01-09,06,23,16,0.0,59,1018,2
2010-01-09,09,23,15,0.0,60,1019,2
2010-01-09,12,22,15,0.0,60,1018,0
2010-01-09,15,23,10,0.0,56,1017,0
2010-01-09,18,23,15,0.0,56,1019,1
2010-01-09,21,22,8,0.0,55,1018,0
2010-01-10,00,23,12,0.0,60,1018,0
2010-01-10,03,22,14,0.0,59,1017,0
2010-01-10,06,22,14,0.0,60,1017,0
2010-01-10,09,22,13,0.0,59,1018,2
2010-01-10,12,22,15,0.1,58,1018,75
2010-01-10,15,22,6,0.0,57,1016,2
2010-01-10,18,22,8,0.0,60,1017,5
2010-01-10,21,22,10,0.0,58,1017,6
2010-01-11,00,21,12,0.0,56,1018,6
2010-01-11,03,20,11,0.0,56,1017,5
2010-01-11,06,20,18,0.0,54,1019,6
2010-01-11,09,21,21,0.0,55,1020,4
2010-01-11,12,21,21,0.0,55,1019,0
2010-01-11,15,21,13,0.0,53,1018,0
2010-01-11,18,21,8,0.0,47,1020,0
2010-01-11,21,22,12,0.0,51,1020,0
2010-01-12,00,22,18,0.0,54,1020,0
2010-01-12,03,22,12,0.0,55,1020,0
2010-01-12,06,22,14,0.0,53,1021,0
2010-01-12,09,22,4,0.0,52,1022,0
2010-01-12,12,22,3,0.0,50,1021,0
2010-01-12,15,22,12,0.0,57,1020,0
2010-01-12,18,22,17,0.0,60,1021,0
2010-01-12,21,22,19,0.0,58,1021,0
2010-01-13,00,22,15,0.0,59,1021,0
2010-01-13,03,22,14,0.0,59,1021,0
2010-01-13,06,22,11,0.0,59,1021,0
2010-01-13,09,22,6,0.0,57,1022,0
2010-01-13,12,21,5,0.0,54,1022,0
2010-01-13,15,21,10,0.0,59,1020,0
2010-01-13,18,22,9,0.0,64,1021,8
2010-01-13,21,22,11,0.0,62,1021,30
2010-01-14,00,21,8,0.0,60,1022,19
2010-01-14,03,21,9,0.0,57,1021,8
2010-01-14,06,21,8,0.0,58,1021,0
2010-01-14,09,21,10,0.0,58,1023,0
2010-01-14,12,21,14,0.0,63,1022,0
2010-01-14,15,21,12,0.0,65,1021,0
2010-01-14,18,21,13,0.0,66,1021,0
2010-01-14,21,22,10,0.0,62,1022,10
2010-01-15,00,21,9,0.0,65,1022,12
2010-01-15,03,21,6,0.0,62,1021,0
2010-01-15,06,21,5,0.0,58,1022,0
2010-01-15,09,21,9,0.0,56,1023,0
2010-01-15,12,21,10,0.0,59,1022,0
2010-01-15,15,21,9,0.0,61,1021,0
2010-01-15,18,21,10,0.0,60,1022,0
2010-01-15,21,21,10,0.0,58,1022,0
2010-01-16,00,21,11,0.0,64,1023,0
2010-01-16,03,21,6,0.0,62,1022,0
2010-01-16,06,20,1,0.0,61,1023,0
2010-01-16,09,20,3,0.0,60,1024,0
2010-01-16,12,20,5,0.0,64,1024,0
2010-01-16,15,20,16,0.0,71,1022,0
2010-01-16,18,21,19,0.0,69,1023,0
2010-01-16,21,21,14,0.0,67,1023,0
2010-01-17,00,21,12,0.0,65,1023,0
2010-01-17,03,21,8,0.0,63,1023,0
2010-01-17,06,21,8,0.0,66,1023,0
2010-01-17,09,21,8,0.0,65,1025,0
2010-01-17,12,21,6,0.0,65,1023,8
2010-01-17,15,21,7,0.0,71,1022,19
2010-01-17,18,21,12,0.0,72,1023,12
2010-01-17,21,21,8,0.0,69,1023,21
2010-01-18,00,21,8,0.0,65,1022,32
2010-01-18,03,21,3,0.0,61,1021,33
2010-01-18,06,21,2,0.0,58,1022,32
2010-01-18,09,21,3,0.0,57,1022,22
2010-01-18,12,21,5,0.0,64,1021,14
2010-01-18,15,21,5,0.0,70,1020,21
2010-01-18,18,21,9,0.0,69,1020,27
2010-01-18,21,22,10,0.0,67,1021,33
2010-01-19,00,23,9,0.0,64,1020,33
2010-01-19,03,23,6,0.0,61,1019,33
2010-01-19,06,22,4,0.0,60,1019,17
2010-01-19,09,22,5,0.0,59,1020,32
2010-01-19,12,22,9,0.0,60,1019,32
2010-01-19,15,22,18,0.0,63,1017,14
2010-01-19,18,23,19,0.0,60,1018,3
2010-01-19,21,23,12,0.0,58,1017,1
2010-01-20,00,23,7,0.0,56,1017,0
2010-01-20,03,23,9,0.0,55,1017,0
2010-01-20,06,23,8,0.0,58,1017,1
2010-01-20,09,23,8,0.0,58,1018,5
2010-01-20,12,23,11,0.0,58,1018,25
2010-01-20,15,23,5,0.0,59,1016,39
2010-01-20,18,23,12,0.0,59,1017,22
2010-01-20,21,23,12,0.0,61,1017,29
2010-01-21,00,23,8,0.0,62,1018,33
2010-01-21,03,23,12,0.0,64,1017,6
2010-01-21,06,23,7,0.0,59,1018,47
2010-01-21,09,23,14,0.0,64,1018,28
2010-01-21,12,23,5,0.0,64,1017,0
2010-01-21,15,23,8,0.0,58,1016,0
2010-01-21,18,24,16,0.0,62,1017,0
2010-01-21,21,24,13,0.0,64,1017,4
2010-01-22,00,23,13,0.0,64,1017,3
2010-01-22,03,23,4,0.0,65,1016,4
2010-01-22,06,23,5,0.0,59,1017,6
2010-01-22,09,23,10,0.0,59,1018,3
2010-01-22,12,23,18,0.0,65,1017,4
2010-01-22,15,23,22,0.0,66,1016,4
2010-01-22,18,23,26,0.0,69,1017,2
2010-01-22,21,23,27,0.0,72,1017,4
2010-01-23,00,23,30,0.0,73,1017,8
2010-01-23,03,23,26,0.0,69,1016,9
2010-01-23,06,23,33,0.0,68,1017,5
2010-01-23,09,23,26,0.0,65,1018,0
2010-01-23,12,23,25,0.0,64,1017,0
2010-01-23,15,23,24,0.0,65,1016,0
2010-01-23,18,23,20,0.0,68,1017,0
2010-01-23,21,23,12,0.0,68,1017,0
2010-01-24,00,23,8,0.0,66,1017,0
2010-01-24,03,22,1,0.0,67,1017,0
2010-01-24,06,22,5,0.0,67,1017,0
2010-01-24,09,22,4,0.0,68,1017,0
2010-01-24,12,21,3,0.0,69,1016,0
2010-01-24,15,21,2,0.0,70,1015,0
2010-01-24,18,22,9,0.0,73,1016,0
2010-01-24,21,22,6,0.0,70,1016,2
2010-01-25,00,23,12,0.0,68,1016,2
2010-01-25,03,23,10,0.0,67,1015,0
2010-01-25,06,23,13,0.0,68,1016,0
2010-01-25,09,23,10,0.0,66,1016,6
2010-01-25,12,23,5,0.0,61,1016,14
2010-01-25,15,23,5,0.0,66,1014,7
2010-01-25,18,23,6,0.0,67,1015,8
2010-01-25,21,24,9,0.0,67,1015,10
2010-01-26,00,24,10,0.0,68,1015,19
2010-01-26,03,24,11,0.0,68,1014,17
2010-01-26,06,23,8,0.0,68,1016,16
2010-01-26,09,23,6,0.0,64,1017,14
2010-01-26,12,23,5,0.0,63,1016,9
2010-01-26,15,23,13,0.0,72,1015,4
2010-01-26,18,22,27,0.0,73,1016,5
2010-01-26,21,22,30,0.0,65,1016,2
2010-01-27,00,22,33,0.0,64,1016,2
2010-01-27,03,21,36,0.0,62,1016,2
2010-01-27,06,21,37,0.0,62,1017,0
2010-01-27,09,20,34,0.0,59,1018,2
2010-01-27,12,20,39,0.0,62,1017,1
2010-01-27,15,20,37,0.0,64,1016,7
2010-01-27,18,21,41,0.0,66,1016,18
2010-01-27,21,21,41,0.0,61,1016,5
2010-01-28,00,21,44,0.0,62,1017,4
2010-01-28,03,20,47,0.0,60,1016,0
2010-01-28,06,20,44,0.0,60,1017,0
2010-01-28,09,20,42,0.0,55,1018,0
2010-01-28,12,20,36,0.0,58,1017,0
2010-01-28,15,21,29,0.0,60,1016,0
2010-01-28,18,20,32,0.0,67,1017,0
2010-01-28,21,21,24,0.0,63,1018,0
2010-01-29,00,21,19,0.0,67,1017,0
2010-01-29,03,21,13,0.0,64,1017,0
2010-01-29,06,20,9,0.0,61,1019,0
2010-01-29,09,20,4,0.0,61,1019,0
2010-01-29,12,20,7,0.0,61,1018,0
2010-01-29,15,20,13,0.0,65,1017,0
2010-01-29,18,20,14,0.0,68,1018,0
2010-01-29,21,21,17,0.0,65,1019,0
2010-01-30,00,21,14,0.0,63,1019,0
2010-01-30,03,21,11,0.0,61,1018,0
2010-01-30,06,21,12,0.0,62,1020,0
2010-01-30,09,21,15,0.0,60,1021,0
2010-01-30,12,22,15,0.0,56,1019,0
2010-01-30,15,23,27,0.0,59,1017,0
2010-01-30,18,23,31,0.0,62,1018,0
2010-01-30,21,23,32,0.0,64,1018,0
2010-01-31,00,23,28,0.0,66,1018,0
2010-01-31,03,23,23,0.0,64,1017,0
2010-01-31,06,23,25,0.0,64,1018,4
2010-01-31,09,23,19,0.0,60,1019,8
2010-01-31,12,23,16,0.0,60,1018,33
2010-01-31,15,23,15,0.0,63,1017,40
2010-01-31,18,23,25,0.0,66,1017,30
2010-01-31,21,23,15,0.0,65,1017,0
2010-02-01,00,23,15,0.0,66,1017,1
2010-02-01,03,23,15,0.0,66,1016,7
2010-02-01,06,23,20,0.0,68,1017,5
2010-02-01,09,23,8,0.0,66,1017,4
2010-02-01,12,23,20,0.0,64,1016,7
2010-02-01,15,23,20,0.0,67,1014,3
2010-02-01,18,24,23,0.0,67,1015,4
2010-02-01,21,24,13,0.0,69,1014,12
2010-02-02,00,24,21,0.0,69,1014,31
2010-02-02,03,24,17,0.0,69,1013,58
2010-02-02,06,24,18,0.0,68,1014,38
2010-02-02,09,24,14,0.0,69,1015,48
2010-02-02,12,23,17,0.0,64,1014,37
2010-02-02,15,23,15,0.0,65,1013,46
2010-02-02,18,24,22,0.0,65,1013,5
2010-02-02,21,24,17,0.0,68,1013,4
2010-02-03,00,24,12,0.0,72,1013,29
2010-02-03,03,23,18,0.0,73,1011,12
2010-02-03,06,23,8,0.0,74,1013,6
2010-02-03,09,23,6,0.0,72,1014,3
2010-02-03,12,23,10,0.0,74,1013,4
2010-02-03,15,24,14,0.0,69,1010,3
2010-02-03,18,24,19,0.0,68,1011,36
2010-02-03,21,24,28,0.0,70,1011,56
2010-02-04,00,24,23,0.0,74,1012,4
2010-02-04,03,24,20,0.0,73,1010,7
2010-02-04,06,24,22,0.0,69,1012,4
2010-02-04,09,23,21,0.0,68,1012,6
2010-02-04,12,24,14,0.0,69,1011,4
2010-02-04,15,24,23,0.0,72,1008,4
2010-02-04,18,25,21,0.0,69,1009,31
2010-02-04,21,25,27,0.0,65,1009,49
2010-02-01,00,23,15,0.0,66,1017,1
2010-02-01,03,23,15,0.0,66,1016,7
2010-02-01,06,23,20,0.0,68,1017,5
2010-02-01,09,23,8,0.0,66,1017,4
2010-02-01,12,23,20,0.0,64,1016,7
2010-02-01,15,23,20,0.0,67,1014,3
2010-02-01,18,24,23,0.0,67,1015,4
2010-02-01,21,24,13,0.0,69,1014,12
2010-02-02,00,24,21,0.0,69,1014,31
2010-02-02,03,24,17,0.0,69,1013,58
2010-02-02,06,24,18,0.0,68,1014,38
2010-02-02,09,24,14,0.0,69,1015,48
2010-02-02,12,23,17,0.0,64,1014,37
2010-02-02,15,23,15,0.0,65,1013,46
2010-02-02,18,24,22,0.0,65,1013,5
2010-02-02,21,24,17,0.0,68,1013,4
2010-02-03,00,24,12,0.0,72,1013,29
2010-02-03,03,23,18,0.0,73,1011,12
2010-02-03,06,23,8,0.0,74,1013,6
2010-02-03,09,23,6,0.0,72,1014,3
2010-02-03,12,23,10,0.0,74,1013,4
2010-02-03,15,24,14,0.0,69,1010,3
2010-02-03,18,24,19,0.0,68,1011,36
2010-02-03,21,24,28,0.0,70,1011,56
2010-02-04,00,24,23,0.0,74,1012,4
2010-02-04,03,24,20,0.0,73,1010,7
2010-02-04,06,24,22,0.0,69,1012,4
2010-02-04,09,23,21,0.0,68,1012,6
2010-02-04,12,24,14,0.0,69,1011,4
2010-02-04,15,24,23,0.0,72,1008,4
2010-02-04,18,25,21,0.0,69,1009,31
2010-02-04,21,25,27,0.0,65,1009,49
2010-02-05,00,25,30,0.0,65,1009,75
2010-02-05,03,25,28,0.0,69,1008,70
2010-02-05,06,24,24,0.1,77,1011,55
2010-02-05,09,23,18,0.1,80,1012,85
2010-02-05,12,22,24,0.2,74,1012,73
