date,time,tempC,windspeed,rainfall,humidity,pressure,cloudcover
2010-01-01,00,0,17,0.0,94,1014,76
2010-01-01,03,-1,18,0.0,93,1014,100
2010-01-01,06,-2,18,0.0,89,1014,65
2010-01-01,09,-2,20,0.0,89,1014,99
2010-01-01,12,-2,23,0.1,86,1014,100
2010-01-01,15,-2,23,0.0,86,1014,100
2010-01-01,18,-4,21,0.0,85,1015,98
2010-01-01,21,-6,26,0.0,80,1016,100
2010-01-02,00,-8,23,0.0,78,1016,100
2010-01-02,03,-10,23,0.0,78,1017,100
2010-01-02,06,-11,19,0.0,78,1018,100
2010-01-02,09,-11,23,0.0,75,1019,100
2010-01-02,12,-10,26,0.0,73,1019,100
2010-01-02,15,-11,26,0.0,78,1019,100
2010-01-02,18,-12,22,0.0,80,1019,100
2010-01-02,21,-12,22,0.0,87,1020,100
2010-01-03,00,-12,23,0.0,87,1018,100
2010-01-03,03,-12,23,0.0,89,1018,100
2010-01-03,06,-12,23,0.0,88,1017,100
2010-01-03,09,-11,27,0.1,88,1015,100
2010-01-03,12,-9,25,0.2,89,1015,100
2010-01-03,15,-8,26,0.0,90,1014,100
2010-01-03,18,-9,18,0.1,90,1016,100
2010-01-03,21,-9,18,0.0,91,1016,100
2010-01-04,00,-9,17,0.0,91,1015,100
2010-01-04,03,-9,16,0.0,92,1015,100
2010-01-04,06,-10,17,0.2,92,1015,100
2010-01-04,09,-9,17,0.0,90,1015,100
2010-01-04,12,-7,16,0.0,88,1014,100
2010-01-04,15,-7,19,0.0,89,1014,100
2010-01-04,18,-8,13,0.0,92,1014,100
2010-01-04,21,-9,13,0.0,94,1014,100
2010-01-05,00,-10,10,0.0,94,1014,100
2010-01-05,03,-9,12,0.1,94,1014,100
2010-01-05,06,-8,11,0.0,93,1013,95
2010-01-05,09,-8,16,0.0,92,1014,100
2010-01-05,12,-5,16,0.0,91,1013,100
2010-01-05,15,-4,17,0.1,93,1013,100
2010-01-05,18,-5,14,0.2,94,1013,100
2010-01-05,21,-5,17,0.1,94,1012,100
2010-01-06,00,-6,13,0.0,94,1013,100
2010-01-06,03,-6,14,0.0,94,1013,100
2010-01-06,06,-6,11,0.0,93,1015,100
2010-01-06,09,-7,15,0.0,92,1015,100
2010-01-06,12,-4,15,0.0,92,1015,100
2010-01-06,15,-3,21,0.0,93,1015,100
2010-01-06,18,-4,17,0.0,93,1016,100
2010-01-06,21,-4,17,0.0,94,1017,100
2010-01-07,00,-6,15,0.0,94,1017,100
2010-01-07,03,-6,12,0.0,94,1017,100
2010-01-07,06,-6,14,0.0,94,1017,99
2010-01-07,09,-5,13,0.0,95,1017,100
2010-01-07,12,-4,5,0.0,93,1016,100
2010-01-07,15,-2,7,0.0,96,1014,100
2010-01-07,18,-4,6,0.0,97,1014,100
2010-01-07,21,-5,15,0.0,97,1012,100
2010-01-08,00,-5,15,0.2,97,1011,100
2010-01-08,03,-5,19,0.3,96,1012,100
2010-01-08,06,-8,17,0.2,95,1012,100
2010-01-08,09,-10,19,0.0,94,1015,92
2010-01-08,12,-9,20,0.0,92,1016,100
2010-01-08,15,-8,21,0.0,93,1018,100
2010-01-08,18,-9,17,0.0,93,1020,100
2010-01-08,21,-10,16,0.0,94,1021,100
2010-01-09,00,-11,13,0.0,94,1023,80
2010-01-09,03,-12,15,0.0,95,1025,43
2010-01-09,06,-16,13,0.0,94,1026,22
2010-01-09,09,-16,13,0.0,93,1028,10
2010-01-09,12,-10,11,0.0,89,1028,5
2010-01-09,15,-10,13,0.0,91,1028,3
2010-01-09,18,-11,8,0.0,92,1029,11
2010-01-09,21,-14,11,0.0,92,1029,21
2010-01-10,00,-17,6,0.0,91,1029,29
2010-01-10,03,-17,11,0.0,90,1029,25
2010-01-10,06,-16,11,0.0,94,1028,29
2010-01-10,09,-13,19,0.0,92,1027,60
2010-01-10,12,-6,22,0.0,92,1026,57
2010-01-10,15,-5,24,0.0,93,1023,78
2010-01-10,18,-6,26,0.0,93,1023,40
2010-01-10,21,-7,28,0.0,92,1022,79
2010-01-11,00,-8,28,0.0,91,1022,59
2010-01-11,03,-7,27,0.0,90,1021,47
2010-01-11,06,-6,18,0.0,92,1021,99
2010-01-11,09,-7,20,0.0,94,1019,100
2010-01-11,12,-5,11,0.1,94,1019,100
2010-01-11,15,-5,8,0.2,94,1019,100
2010-01-11,18,-6,6,0.0,95,1021,100
2010-01-11,21,-7,11,0.1,95,1022,93
2010-01-12,00,-8,8,0.0,95,1023,87
2010-01-12,03,-8,15,0.0,96,1024,100
2010-01-12,06,-9,13,0.0,95,1025,100
2010-01-12,09,-9,13,0.0,94,1026,100
2010-01-12,12,-7,12,0.0,92,1026,92
2010-01-12,15,-6,13,0.0,93,1025,86
2010-01-12,18,-8,10,0.0,94,1026,43
2010-01-12,21,-9,13,0.0,94,1025,34
2010-01-13,00,-8,15,0.0,95,1025,69
2010-01-13,03,-7,18,0.0,95,1024,99
2010-01-13,06,-6,21,0.0,94,1023,67
2010-01-13,09,-5,26,0.0,93,1022,57
2010-01-13,12,-2,24,0.0,92,1021,71
2010-01-13,15,-2,28,0.0,92,1019,67
2010-01-13,18,-2,10,0.0,93,1020,88
2010-01-13,21,-4,14,0.0,94,1019,78
2010-01-14,00,-4,15,0.0,95,1020,79
2010-01-14,03,-4,14,0.0,95,1020,87
2010-01-14,06,-3,15,0.0,95,1020,96
2010-01-14,09,-2,19,0.0,95,1019,86
2010-01-14,12,1,16,0.0,98,1019,67
2010-01-14,15,2,23,0.0,98,1018,61
2010-01-14,18,1,23,0.0,95,1018,56
2010-01-14,21,1,27,0.0,99,1017,87
2010-01-15,00,1,26,0.0,100,1018,92
2010-01-15,03,2,20,0.0,99,1018,84
2010-01-15,06,1,13,0.0,96,1020,65
2010-01-15,09,1,16,0.0,93,1022,41
2010-01-15,12,2,12,0.0,88,1023,48
2010-01-15,15,1,12,0.0,92,1023,54
2010-01-15,18,-0,14,0.0,94,1024,25
2010-01-15,21,-2,14,0.0,95,1024,24
2010-01-16,00,-2,15,0.0,94,1023,30
2010-01-16,03,-2,19,0.0,94,1023,26
2010-01-16,06,-2,15,0.0,94,1022,18
2010-01-16,09,-1,23,0.0,93,1022,16
2010-01-16,12,1,15,0.0,95,1022,16
2010-01-16,15,1,11,0.0,95,1021,19
2010-01-16,18,-1,12,0.0,94,1021,4
2010-01-16,21,-2,14,0.0,93,1019,5
2010-01-17,00,-2,7,0.0,93,1019,5
2010-01-17,03,-3,3,0.0,94,1017,32
2010-01-17,06,-2,9,0.0,94,1015,9
2010-01-17,09,-0,8,0.0,91,1013,17
2010-01-17,12,2,10,0.0,92,1010,36
2010-01-17,15,1,7,0.0,94,1009,75
2010-01-17,18,1,10,0.0,94,1009,51
2010-01-17,21,0,5,0.0,94,1008,18
2010-01-18,00,-1,6,0.0,92,1008,6
2010-01-18,03,-1,14,0.0,88,1009,8
2010-01-18,06,-2,6,0.0,88,1012,4
2010-01-18,09,-2,12,0.0,87,1013,9
2010-01-18,12,1,15,0.0,89,1013,25
2010-01-18,15,0,16,0.0,91,1012,51
2010-01-18,18,-1,13,0.0,93,1014,58
2010-01-18,21,-2,9,0.0,93,1014,77
2010-01-19,00,-2,6,0.0,92,1014,87
2010-01-19,03,-2,10,0.0,90,1014,63
2010-01-19,06,-2,8,0.0,89,1014,72
2010-01-19,09,-1,7,0.0,88,1013,94
2010-01-19,12,0,10,0.0,86,1013,97
2010-01-19,15,0,15,0.0,90,1012,100
2010-01-19,18,-1,13,0.1,90,1013,100
2010-01-19,21,-1,10,0.0,92,1014,100
2010-01-20,00,-3,13,0.0,92,1015,91
2010-01-20,03,-3,15,0.0,90,1016,24
2010-01-20,06,-4,9,0.0,90,1017,23
2010-01-20,09,-4,12,0.0,82,1019,21
2010-01-20,12,-3,10,0.0,78,1019,42
2010-01-20,15,-3,13,0.0,81,1019,28
2010-01-20,18,-5,12,0.0,89,1021,38
2010-01-20,21,-7,9,0.0,92,1021,54
2010-01-21,00,-8,10,0.0,94,1023,25
2010-01-21,03,-6,10,0.0,94,1023,22
2010-01-21,06,-6,8,0.0,93,1023,12
2010-01-21,09,-4,17,0.0,85,1024,4
2010-01-21,12,-1,19,0.0,80,1020,3
2010-01-21,15,-1,21,0.0,85,1018,13
2010-01-21,18,-3,21,0.0,93,1019,20
2010-01-21,21,-3,23,0.0,94,1018,31
2010-01-22,00,-3,24,0.0,92,1017,14
2010-01-22,03,-3,18,0.0,92,1015,15
2010-01-22,06,-3,19,0.0,92,1016,18
2010-01-22,09,-1,20,0.0,87,1016,16
2010-01-22,12,1,22,0.0,81,1017,10
2010-01-22,15,0,22,0.0,81,1017,11
2010-01-22,18,-2,17,0.0,90,1020,11
2010-01-22,21,-2,19,0.0,94,1020,36
2010-01-23,00,-3,18,0.0,96,1022,54
2010-01-23,03,-3,18,0.0,95,1023,62
2010-01-23,06,-3,17,0.0,94,1023,59
2010-01-23,09,-3,18,0.0,89,1023,38
2010-01-23,12,1,15,0.0,81,1021,6
2010-01-23,15,1,18,0.0,85,1019,26
2010-01-23,18,-1,18,0.0,93,1018,63
2010-01-23,21,-1,17,0.0,90,1016,51
2010-01-24,00,-0,10,0.0,88,1015,48
2010-01-24,03,-2,14,0.0,90,1013,24
2010-01-24,06,-2,15,0.0,92,1011,45
2010-01-24,09,1,15,0.0,90,1008,16
2010-01-24,12,3,17,0.0,89,1006,56
2010-01-24,15,4,20,1.0,96,1002,100
2010-01-24,18,5,19,2.0,96,1000,88
2010-01-24,21,5,19,0.9,97,997,100
2010-01-25,00,5,10,2.6,98,993,100
2010-01-25,03,5,9,1.1,99,990,100
2010-01-25,06,5,9,0.8,99,988,100
2010-01-25,09,4,19,1.2,98,988,100
2010-01-25,12,3,27,0.2,93,991,100
2010-01-25,15,1,30,0.0,88,993,72
2010-01-25,18,0,27,0.0,86,994,90
2010-01-25,21,-0,22,0.0,85,997,100
2010-01-26,00,-0,21,0.0,84,996,93
2010-01-26,03,-1,25,0.0,86,998,90
2010-01-26,06,-1,23,0.0,84,1000,100
2010-01-26,09,-1,29,0.0,82,1002,100
2010-01-26,12,-1,31,0.0,78,1004,100
2010-01-26,15,-1,28,0.0,81,1007,100
2010-01-26,18,-1,29,0.0,84,1008,100
2010-01-26,21,-1,23,0.0,85,1010,100
2010-01-27,00,-2,25,0.0,84,1012,100
2010-01-27,03,-3,22,0.0,85,1014,100
2010-01-27,06,-3,26,0.0,84,1015,100
2010-01-27,09,-4,30,0.0,81,1016,100
2010-01-27,12,-4,31,0.0,77,1017,94
2010-01-27,15,-4,29,0.0,76,1018,92
2010-01-27,18,-4,23,0.0,78,1018,64
2010-01-27,21,-4,27,0.0,85,1016,100
2010-01-28,00,-3,29,0.0,86,1015,100
2010-01-28,03,-3,25,0.0,86,1013,100
2010-01-28,06,-4,23,0.0,81,1013,100
2010-01-28,09,-7,35,0.2,74,1015,100
2010-01-28,12,-8,35,0.0,70,1019,100
2010-01-28,15,-9,33,0.0,74,1023,100
2010-01-28,18,-9,27,0.0,76,1025,100
2010-01-28,21,-11,24,0.0,77,1027,100
2010-01-29,00,-11,21,0.0,78,1028,100
2010-01-29,03,-11,19,0.0,81,1028,100
2010-01-29,06,-11,15,0.0,82,1028,100
2010-01-29,09,-11,19,0.0,79,1029,100
2010-01-29,12,-9,19,0.0,72,1029,100
2010-01-29,15,-10,21,0.0,72,1031,100
2010-01-29,18,-12,16,0.0,78,1031,34
2010-01-29,21,-12,14,0.0,80,1031,54
2010-01-30,00,-13,12,0.0,82,1030,61
2010-01-30,03,-14,12,0.0,85,1030,28
2010-01-30,06,-14,11,0.0,87,1028,25
2010-01-30,09,-14,9,0.0,79,1028,17
2010-01-30,12,-11,12,0.0,71,1026,4
2010-01-30,15,-9,8,0.0,71,1024,7
2010-01-30,18,-11,8,0.0,81,1023,5
2010-01-30,21,-12,3,0.0,85,1022,10
2010-01-31,00,-12,10,0.0,88,1021,15
2010-01-31,03,-11,14,0.0,91,1021,44
2010-01-31,06,-11,17,0.0,91,1020,34
2010-01-31,09,-9,20,0.0,82,1020,30
2010-01-31,12,-5,25,0.0,78,1019,100
2010-01-31,15,-5,31,0.0,81,1018,100
2010-01-31,18,-5,26,0.0,85,1018,100
2010-01-31,21,-5,24,0.0,83,1019,81
2010-02-01,00,-7,21,0.0,83,1022,81
2010-02-01,03,-8,14,0.0,86,1024,64
2010-02-01,06,-9,13,0.0,85,1025,58
2010-02-01,09,-9,17,0.0,78,1025,54
2010-02-01,12,-6,24,0.0,73,1025,61
2010-02-01,15,-5,24,0.0,74,1024,67
2010-02-01,18,-6,12,0.0,81,1026,100
2010-02-01,21,-6,14,0.0,85,1025,8
2010-02-02,00,-7,6,0.0,91,1025,8
2010-02-02,03,-8,6,0.0,93,1024,47
2010-02-02,06,-8,1,0.0,93,1024,50
2010-02-02,09,-7,5,0.0,84,1022,66
2010-02-02,12,-3,9,0.0,82,1021,100
2010-02-02,15,-3,11,0.0,88,1018,100
2010-02-02,18,-4,8,0.1,94,1018,100
2010-02-02,21,-4,11,0.2,95,1017,100
2010-02-03,00,-4,4,0.1,96,1017,100
2010-02-03,03,-5,9,0.0,96,1017,82
2010-02-03,06,-6,3,0.0,95,1019,91
2010-02-03,09,-4,8,0.0,91,1020,85
2010-02-03,12,-1,19,0.0,83,1020,96
2010-02-03,15,-1,21,0.0,84,1021,95
2010-02-03,18,-3,17,0.0,87,1024,90
2010-02-03,21,-5,16,0.0,86,1026,57
2010-02-04,00,-7,16,0.0,87,1028,51
2010-02-04,03,-9,10,0.0,91,1028,12
2010-02-04,06,-8,4,0.0,93,1030,16
2010-02-04,09,-8,9,0.0,83,1031,11
2010-02-04,12,-2,12,0.0,76,1029,23
2010-02-04,15,-2,13,0.0,80,1028,15
2010-02-04,18,-4,11,0.0,88,1029,10
2010-02-04,21,-5,10,0.0,91,1028,24
2010-02-01,00,-7,21,0.0,83,1022,81
2010-02-01,03,-8,14,0.0,86,1024,64
2010-02-01,06,-9,13,0.0,85,1025,58
2010-02-01,09,-9,17,0.0,78,1025,54
2010-02-01,12,-6,24,0.0,73,1025,61
2010-02-01,15,-5,24,0.0,74,1024,67
2010-02-01,18,-6,12,0.0,81,1026,100
2010-02-01,21,-6,14,0.0,85,1025,8
2010-02-02,00,-7,6,0.0,91,1025,8
2010-02-02,03,-8,6,0.0,93,1024,47
2010-02-02,06,-8,1,0.0,93,1024,50
2010-02-02,09,-7,5,0.0,84,1022,66
2010-02-02,12,-3,9,0.0,82,1021,100
2010-02-02,15,-3,11,0.0,88,1018,100
2010-02-02,18,-4,8,0.1,94,1018,100
2010-02-02,21,-4,11,0.2,95,1017,100
2010-02-03,00,-4,4,0.1,96,1017,100
2010-02-03,03,-5,9,0.0,96,1017,82
2010-02-03,06,-6,3,0.0,95,1019,91
2010-02-03,09,-4,8,0.0,91,1020,85
2010-02-03,12,-1,19,0.0,83,1020,96
2010-02-03,15,-1,21,0.0,84,1021,95
2010-02-03,18,-3,17,0.0,87,1024,90
2010-02-03,21,-5,16,0.0,86,1026,57
2010-02-04,00,-7,16,0.0,87,1028,51
2010-02-04,03,-9,10,0.0,91,1028,12
2010-02-04,06,-8,4,0.0,93,1030,16
2010-02-04,09,-8,9,0.0,83,1031,11
2010-02-04,12,-2,12,0.0,76,1029,23
2010-02-04,15,-2,13,0.0,80,1028,15
2010-02-04,18,-4,11,0.0,88,1029,10
2010-02-04,21,-5,10,0.0,91,1028,24
2010-02-05,00,-5,6,0.0,92,1027,27
2010-02-05,03,-6,4,0.0,91,1026,36
2010-02-05,06,-5,8,0.0,91,1026,22
2010-02-05,09,-4,13,0.0,88,1026,29
2010-02-05,12,-1,14,0.0,85,1023,61
2010-02-05,15,-2,20,0.0,88,1021,61
2010-02-05,18,-4,24,0.0,92,1021,100
2010-02-05,21,-5,29,0.0,89,1018,100
2010-02-06,00,-7,30,0.0,85,1018,100
2010-02-06,03,-7,30,0.0,82,1017,54
2010-02-06,06,-9,31,0.0,84,1017,72
2010-02-06,09,-10,28,0.0,81,1017,42
2010-02-06,12,-7,25,0.0,73,1017,26
2010-02-06,15,-7,22,0.0,73,1018,22
2010-02-06,18,-9,15,0.0,84,1019,38
2010-02-06,21,-10,18,0.0,92,1019,49
2010-02-07,00,-10,14,0.0,94,1020,61
2010-02-07,03,-10,14,0.0,94,1020,47
2010-02-07,06,-13,12,0.0,93,1020,40
2010-02-07,09,-11,12,0.0,84,1022,37
2010-02-07,12,-6,11,0.0,76,1021,10
2010-02-07,15,-3,17,0.0,77,1020,16
2010-02-07,18,-6,15,0.0,85,1021,4
2010-02-07,21,-8,17,0.0,87,1021,7
2010-02-08,00,-8,17,0.0,90,1021,22
2010-02-08,03,-8,15,0.0,93,1022,28
2010-02-08,06,-8,10,0.0,92,1022,37
2010-02-08,09,-7,14,0.0,81,1022,55
2010-02-08,12,-3,11,0.0,74,1022,56
2010-02-08,15,-1,16,0.0,77,1022,43
2010-02-08,18,-4,11,0.0,88,1022,12
2010-02-08,21,-6,13,0.0,93,1023,23
2010-02-09,00,-7,6,0.0,95,1023,39
2010-02-09,03,-7,7,0.0,95,1022,46
2010-02-09,06,-8,6,0.0,95,1022,79
2010-02-09,09,-6,12,0.0,89,1020,100
2010-02-09,12,-5,12,0.0,86,1016,100
2010-02-09,15,-5,21,0.2,91,1013,83
2010-02-09,18,-5,23,0.1,93,1009,100
2010-02-09,21,-5,27,0.3,94,1006,100
2010-02-10,00,-4,27,0.3,94,1003,100
2010-02-10,03,-3,26,0.3,95,1001,100
2010-02-10,06,-4,18,0.1,95,1001,100
2010-02-10,09,-4,21,0.2,94,1001,100
2010-02-10,12,-2,22,0.1,90,1001,100
2010-02-10,15,-2,23,0.0,92,1004,100
2010-02-10,18,-4,22,0.0,92,1007,82
2010-02-10,21,-6,19,0.0,89,1009,84
2010-02-11,00,-7,19,0.0,90,1010,77
2010-02-11,03,-8,16,0.0,90,1011,71
2010-02-11,06,-9,14,0.0,91,1012,88
2010-02-11,09,-9,15,0.0,83,1013,43
2010-02-11,12,-4,17,0.0,74,1013,47
2010-02-11,15,-2,22,0.0,78,1012,16
2010-02-11,18,-5,19,0.0,85,1013,19
2010-02-11,21,-7,15,0.0,92,1013,14
2010-02-12,00,-9,14,0.0,93,1014,35
2010-02-12,03,-9,17,0.0,94,1014,74
2010-02-12,06,-9,10,0.0,93,1014,63
2010-02-12,09,-8,14,0.0,88,1015,93
2010-02-12,12,-4,17,0.0,83,1014,86
2010-02-12,15,-2,15,0.0,83,1013,73
2010-02-12,18,-5,10,0.0,90,1013,36
2010-02-12,21,-6,11,0.0,91,1013,45
2010-02-13,00,-9,5,0.0,92,1012,30
2010-02-13,03,-8,10,0.0,92,1011,29
2010-02-13,06,-8,4,0.0,94,1010,66
2010-02-13,09,-7,9,0.0,90,1009,100
2010-02-13,12,-3,14,0.0,81,1007,100
2010-02-13,15,-3,19,0.0,85,1006,100
2010-02-13,18,-4,18,0.0,90,1006,100
2010-02-13,21,-5,20,0.0,91,1006,98
2010-02-14,00,-6,21,0.0,91,1006,95
2010-02-14,03,-4,21,0.0,91,1006,100
2010-02-14,06,-5,20,0.0,91,1007,100
2010-02-14,09,-5,21,0.0,87,1006,100
2010-02-14,12,-3,24,0.0,84,1007,100
2010-02-14,15,-1,23,0.0,86,1006,100
2010-02-14,18,-2,16,0.0,91,1007,89
2010-02-14,21,-4,16,0.0,93,1007,100
2010-02-15,00,-5,19,0.0,93,1008,100
2010-02-15,03,-5,18,0.0,93,1008,100
2010-02-15,06,-5,12,0.0,93,1008,50
2010-02-15,09,-5,15,0.0,90,1009,68
2010-02-15,12,-2,9,0.0,85,1007,86
2010-02-15,15,-1,8,0.0,84,1006,80
2010-02-15,18,-3,8,0.0,91,1006,29
2010-02-15,21,-5,10,0.0,92,1004,23
2010-02-16,00,-6,7,0.0,93,1004,53
2010-02-16,03,-7,10,0.0,92,1003,100
2010-02-16,06,-8,11,0.0,91,1003,97
2010-02-16,09,-5,13,0.0,89,1003,100
2010-02-16,12,-1,12,0.0,84,1003,100
2010-02-16,15,-1,13,0.0,88,1003,100
2010-02-16,18,-2,12,0.0,93,1004,100
2010-02-16,21,-3,14,0.0,92,1005,100
2010-02-17,00,-6,13,0.0,91,1006,100
2010-02-17,03,-6,17,0.0,92,1006,100
2010-02-17,06,-5,15,0.0,93,1006,96
2010-02-17,09,-2,21,0.0,88,1005,84
2010-02-17,12,-0,23,0.0,88,1004,100
2010-02-17,15,-1,27,0.2,92,1003,100
2010-02-17,18,-2,20,0.1,93,1004,100
2010-02-17,21,-2,19,0.0,93,1004,99
2010-02-18,00,-1,14,0.0,93,1006,95
2010-02-18,03,-1,21,0.0,91,1007,91
2010-02-18,06,-2,12,0.0,90,1008,95
2010-02-18,09,-2,22,0.0,86,1009,96
2010-02-18,12,-0,21,0.0,85,1009,96
2010-02-18,15,-0,27,0.0,87,1010,97
2010-02-18,18,-2,20,0.0,89,1010,95
2010-02-18,21,-2,21,0.0,93,1010,100
2010-02-19,00,-2,23,0.0,92,1011,100
2010-02-19,03,-2,24,0.0,93,1012,100
2010-02-19,06,-3,20,0.0,92,1013,99
2010-02-19,09,-2,21,0.0,91,1015,99
2010-02-19,12,0,21,0.0,91,1015,99
2010-02-19,15,1,21,0.0,92,1017,100
2010-02-19,18,-1,16,0.0,92,1018,89
2010-02-19,21,-2,16,0.0,94,1019,90
2010-02-20,00,-3,17,0.0,93,1019,94
2010-02-20,03,-5,15,0.0,93,1020,96
2010-02-20,06,-6,11,0.0,93,1020,100
2010-02-20,09,-3,18,0.0,91,1020,100
2010-02-20,12,0,13,0.0,91,1020,94
2010-02-20,15,2,16,0.0,91,1020,100
2010-02-20,18,-1,13,0.0,92,1021,61
2010-02-20,21,-2,16,0.0,94,1020,24
2010-02-21,00,-4,10,0.0,94,1020,24
2010-02-21,03,-5,13,0.0,94,1020,53
2010-02-21,06,-5,7,0.0,94,1021,53
2010-02-21,09,-2,9,0.0,85,1021,26
2010-02-21,12,1,7,0.0,81,1019,18
2010-02-21,15,3,9,0.0,83,1018,11
2010-02-21,18,0,5,0.0,91,1019,7
2010-02-21,21,-2,11,0.0,90,1018,8
2010-02-22,00,-5,15,0.0,92,1017,24
2010-02-22,03,-4,16,0.0,92,1016,39
2010-02-22,06,-4,18,0.0,92,1014,57
2010-02-22,09,-3,21,0.0,90,1011,100
2010-02-22,12,-1,25,0.5,95,1009,100
2010-02-22,15,-1,26,1.2,97,1007,100
2010-02-22,18,0,20,1.1,98,1006,100
2010-02-22,21,-0,14,0.4,98,1005,100
2010-02-23,00,0,1,0.2,98,1005,100
2010-02-23,03,-1,12,0.0,97,1006,100
2010-02-23,06,-1,11,0.0,96,1007,100
2010-02-23,09,-1,13,0.0,95,1008,100
2010-02-23,12,0,17,0.0,95,1010,100
2010-02-23,15,1,13,0.0,93,1010,100
2010-02-23,18,-1,8,0.0,93,1011,87
2010-02-23,21,-2,10,0.0,95,1012,58
2010-02-24,00,-5,9,0.0,94,1013,31
2010-02-24,03,-7,7,0.0,96,1014,64
2010-02-24,06,-7,3,0.0,97,1014,92
2010-02-24,09,-1,4,0.0,93,1013,48
2010-02-24,12,0,4,0.0,90,1013,43
2010-02-24,15,1,3,0.0,93,1012,73
2010-02-24,18,-3,1,0.0,95,1012,100
2010-02-24,21,-3,5,0.0,95,1011,87
2010-02-25,00,-3,8,0.0,95,1011,81
2010-02-25,03,-6,13,0.0,96,1010,84
2010-02-25,06,-7,16,0.0,95,1009,100
2010-02-25,09,-5,19,0.1,94,1008,100
2010-02-25,12,-4,23,0.0,94,1007,100
2010-02-25,15,-4,26,0.0,93,1007,100
2010-02-25,18,-5,21,0.0,94,1005,100
2010-02-25,21,-6,24,0.2,93,1004,100
2010-02-26,00,-5,24,0.4,94,1002,100
2010-02-26,03,-6,29,0.4,94,1000,100
2010-02-26,06,-6,28,0.7,94,1000,100
2010-02-26,09,-4,22,0.4,94,999,100
2010-02-26,12,-1,16,0.2,95,999,100
2010-02-26,15,-1,14,0.4,96,1000,100
2010-02-26,18,0,6,1.2,97,1001,100
2010-02-26,21,-0,16,0.0,97,1002,93
2010-02-27,00,-0,9,0.0,97,1003,98
2010-02-27,03,-0,13,0.0,96,1003,100
2010-02-27,06,-0,13,0.0,96,1003,78
2010-02-27,09,0,18,0.3,96,1002,100
2010-02-27,12,0,18,0.4,99,1001,100
2010-02-27,15,0,16,0.2,99,1001,100
2010-02-27,18,1,14,0.3,98,1002,100
2010-02-27,21,1,17,0.0,99,1003,100
2010-02-28,00,1,14,0.0,98,1004,100
2010-02-28,03,-1,18,0.0,97,1005,100
2010-02-28,06,-1,17,0.0,96,1007,100
2010-02-28,09,1,18,0.0,100,1009,94
2010-02-28,12,1,9,0.0,100,1010,68
2010-02-28,15,2,13,0.0,100,1010,80
2010-02-28,18,0,15,0.0,95,1012,100
2010-02-28,21,0,14,0.0,96,1013,100
2010-03-01,00,0,11,0.0,96,1014,71
2010-03-01,03,-0,17,0.0,96,1014,74
2010-03-01,06,-1,16,0.0,96,1016,82
2010-03-01,09,-0,18,0.0,97,1017,95
2010-03-01,12,0,11,0.0,100,1017,94
2010-03-01,15,2,12,0.0,99,1017,100
2010-03-01,18,-0,10,0.0,96,1019,95
2010-03-01,21,-1,14,0.0,96,1018,97
2010-03-02,00,-3,6,0.0,96,1017,98
2010-03-02,03,-4,10,0.0,96,1018,100
2010-03-02,06,-4,8,0.0,97,1017,88
2010-03-02,09,-2,11,0.0,96,1017,79
2010-03-02,12,1,2,0.0,99,1016,75
2010-03-02,15,1,4,0.0,100,1015,71
2010-03-02,18,-0,3,0.0,96,1014,73
2010-03-02,21,-1,10,0.0,96,1013,88
2010-03-03,00,-2,10,0.0,96,1013,87
2010-03-03,03,-2,13,0.0,97,1012,90
2010-03-03,06,-3,7,0.0,97,1012,93
2010-03-03,09,0,17,0.0,98,1012,98
2010-03-03,12,1,12,0.0,98,1011,91
2010-03-03,15,2,13,0.0,95,1011,91
2010-03-03,18,-0,11,0.0,95,1012,100
2010-03-03,21,-3,20,0.0,95,1013,56
2010-03-04,00,-4,16,0.0,96,1013,87
2010-03-04,03,-3,21,0.0,96,1014,61
2010-03-04,06,-6,15,0.0,95,1016,26
2010-03-04,09,-3,21,0.0,94,1016,61
2010-03-04,12,-1,14,0.0,92,1017,82
2010-03-04,15,1,17,0.0,94,1017,71
2010-03-04,18,-1,13,0.0,94,1019,77
2010-03-04,21,-2,17,0.0,94,1020,56
2010-03-05,00,-3,15,0.0,95,1020,77
2010-03-05,03,-3,17,0.0,95,1021,77
2010-03-05,06,-6,10,0.0,95,1023,62
2010-03-05,09,-3,17,0.0,88,1025,45
2010-03-05,12,1,9,0.0,84,1025,12
2010-03-05,15,2,12,0.0,81,1025,4
2010-03-05,18,-1,10,0.0,89,1026,10
2010-03-05,21,-6,15,0.0,91,1027,8
2010-03-06,00,-6,6,0.0,91,1027,27
2010-03-06,03,-5,10,0.0,88,1027,3
2010-03-06,06,-5,5,0.0,85,1027,13
2010-03-06,09,-2,11,0.0,82,1028,4
2010-03-06,12,3,8,0.0,86,1027,3
2010-03-06,15,5,15,0.0,84,1026,0
2010-03-06,18,1,15,0.0,91,1025,0
2010-03-06,21,-2,14,0.0,89,1023,0
2010-03-07,00,-2,17,0.0,90,1023,1
2010-03-07,03,-2,16,0.0,94,1023,8
2010-03-07,06,-3,10,0.0,93,1022,8
2010-03-07,09,2,19,0.0,90,1022,4
2010-03-07,12,5,23,0.0,80,1020,3
2010-03-07,15,6,23,0.0,79,1018,10
2010-03-07,18,2,18,0.0,92,1018,9
2010-03-07,21,0,19,0.0,93,1018,6
2010-03-01,00,0,11,0.0,96,1014,71
2010-03-01,03,-0,17,0.0,96,1014,74
